"x","y"
1,NaN
2,0.5362510463971255
3,0.885911310916428
4,0.00650789027908126
5,0.011514301309674147
6,0.014191978360359353
7,0.06672745383396292
8,0.004808983199484624
9,0.002530129759360292
10,0.10371852865017483
